,High,Low,Adj Close,Volume,UNRATE,FEDFUNDS,GDP_GROWTH,CSI,VIX,MACD,VWMA,RSI,covid_flag
26,0.008334761,0.023949739,0.004285093,-0.965902427096044,0.037,0.0195,0.0245758594757433,1.001,0.0779248057130855,0.6103910576759459,-0.17008065078838916,0.7887003801847828,0
27,-0.00035702978,-0.09538911,-0.07192934,0.5949631994875514,0.038,0.0219,0.0212511075148453,0.986,0.05356017643352237,0.4979679440376267,-0.1625978219021803,0.5831958795006775,0
28,-0.043346487,0.01052617,0.017701752,-0.015943805646521453,0.038,0.022,0.0203334189339189,0.975,0.20772946859903382,0.4666324199709815,-0.15591441273947168,0.6097589127254565,0
29,-0.005331835,-0.11443926,-0.09626522,0.17536889966812094,0.039,0.0227,0.0194206798922122,0.983,0.14681789540012605,0.32234722446682157,-0.16792121159015505,0.4471504310323498,0
30,-0.033122588,0.040660676,0.075742155,-0.002989463558722773,0.04,0.024,0.0185128504545258,0.912,0.2892249527410208,0.3648548915115761,-0.17516962102181383,0.5492563752346658,0
31,0.037864614,0.092879765,0.029295553,-0.5550329320331823,0.038,0.024,0.0195256432624712,0.938,0.1405166981726528,0.4251584528517966,-0.17120552059520994,0.5834601181950699,0
32,0.016504329,0.014966672,0.01776551,-0.09481811463688077,0.038,0.0241,0.0205348646033462,0.984,0.08653644192396556,0.4732343918085292,-0.15940244888144103,0.6038215720939121,0
33,0.03071242,0.04537204,0.038560398,-0.58465211569359,0.037,0.0242,0.0215405333352919,0.972,0.08296576349506404,0.5429527029641434,-0.1430960063961783,0.645971340245204,0
34,0.0015616997,-0.035048142,-0.06804089,-0.19791923074378368,0.036,0.0239,0.0232683779908535,1.0,0.11237135055660577,0.46508667043206753,-0.14033668129567242,0.5374916546914268,0
35,0.0033861287,-0.007924354,0.0666583,-0.5219862622402263,0.036,0.0237999999999999,0.0249890680466977,0.982,0.19764755303507667,0.520970008293551,-0.12755998510620223,0.6078281578921625,0
36,0.021305444,0.07869178,0.013042725,-0.557155532175148,0.037,0.024,0.0267026478492913,0.984,0.09682839739550517,0.5542059296333236,-0.1183936845458857,0.6206409515119512,0
37,-0.004763636,-0.045069,-0.018257283,-0.03489057739719803,0.036,0.0213,0.0284118972186388,0.898,0.17685360218441507,0.5294043624166243,-0.11602087996145331,0.5912208517946271,0
38,0.002783463,0.024408052,0.01703525,-0.3638255465729122,0.035,0.0204,0.0301195340753923,0.932,0.2144507456416719,0.5336389455236874,-0.11154567327448328,0.610025893839028,0
39,0.009258858,-0.012495454,0.020225842,-0.1725398463491345,0.036,0.0183,0.031825560700352,0.955,0.19134635580760342,0.5550601242356559,-0.09084824332798368,0.6323444768870043,0
40,0.033579513,0.065976605,0.033480264,-0.4593349915359294,0.036,0.0155,0.0252819922779714,0.968,0.059861373660995615,0.6032340875305058,-0.06879502920989694,0.6676301438442508,0
41,0.029263927,0.006407454,0.028188756,-0.4639301777974675,0.036,0.0155,0.0187620305129089,0.993,0.1146817895400126,0.6522654580801088,-0.02394201797881878,0.6953282664116638,0
42,0.027285077,0.04593027,-0.0016294194,-0.1959078915761805,0.036,0.0155,0.0122655478896798,0.998,0.06343205208989708,0.6507386160755488,0.008733374545312584,0.6916451916029286,0
43,0.01656481,-0.11834929,-0.087859534,0.19018983363648798,0.035,0.0158,-0.0170788070919941,1.01,0.17895400126023944,0.49598466843910327,0.017828602469694102,0.532838668991037,1
44,-0.078690074,-0.2646155,-0.13366772,4.389416110778123,0.044,0.0065,-0.0462617476955047,0.8909999999999999,0.5034656584751103,0.2395369076500315,-0.02068851080474258,0.397266002523083,1
45,-0.05972635,0.11031246,0.11942084,2.305853447962743,0.148,0.0005,-0.0752846021050371,0.718,0.9999999999999999,0.3057331218085918,-0.023258266705320017,0.51633622934289,1
46,0.03779291,0.122570544,0.044286534,1.4161453446396448,0.132,0.0005,-0.0549342917248437,0.723,0.5826507036336903,0.4061454907161805,-0.0061848840856685875,0.554921396996285,1
47,0.052206453,0.069466025,0.018221375,2.7298722618694464,0.11,0.0008,-0.0347364315058463,0.7809999999999999,0.3944549464398235,0.475663799775668,0.006184884085668264,0.5707776689642118,1
48,0.014389698,0.044679858,0.0536368,0.8648601791166661,0.102,0.0009,-0.0146893147671671,0.725,0.4026465028355387,0.5837290625170443,0.023478986435680346,0.6162861187361564,0
49,0.06913372,0.05744414,0.06771908,0.08378599491683175,0.084,0.001,-0.013398342287643,0.741,0.31148918294475947,0.7287361427565379,0.05227780611143983,0.6678313148865989,0
50,0.020651536,-0.023124008,-0.04001812,0.6154762665083808,0.078,0.0009,-0.0121128658071808,0.804,0.3501365259399286,0.6964358776466543,0.07300511375145792,0.6139305085997298,0
51,-0.010720255,0.007601622,-0.028055692,0.4873749174825692,0.068,0.0009,-0.0108328503035259,0.818,0.3623188405797101,0.6135633128339748,0.0851991942300751,0.5793654598758212,0
52,0.026722554,0.014062958,0.102146424,1.0981328545150688,0.067,0.0009,-0.0020606789164426,0.769,0.5813904641881957,0.7362435255374069,0.11435703715706384,0.6586178944983005,0
53,0.030844204,0.10240468,0.03644905,0.8350222542202543,0.067,0.0009,0.0067919251527973,0.807,0.23776517538332279,0.8287065619370014,0.1445936444298137,0.6834881417991333,0
54,0.029014878,0.008034478,-0.011199137,1.3611959258499615,0.064,0.0009,0.0157260732388821,0.79,0.36798991808443593,0.813843689805477,0.17433577480268167,0.6669947527857119,0
55,0.020337403,0.017030012,0.025756877,0.9812083724963412,0.062,0.0008,0.0484493440141473,0.768,0.4366729678638941,0.823531348175209,0.21899328818954142,0.6861367592511581,0
56,0.011071445,-0.00061217375,0.041562807,2.239042313061647,0.061,0.0007,0.08298967094918,0.8490000000000001,0.29195547153959256,0.8750159630081517,0.33118693824182893,0.7158730371680342,0
57,0.054650076,0.0698666,0.05109733,0.11930147011663904,0.061,0.0007,0.1195027221151961,0.883,0.16551144717496322,0.963307178900741,0.4055433779335239,0.7492472229780438,0
58,0.0045549716,0.01592644,0.0054714927,0.4000339724043078,0.0579999999999999,0.0006,0.0942401813406957,0.8290000000000001,0.18609535811804237,0.968451020759209,0.47220913545150617,0.7527369438530773,0
59,0.015079113,0.026158007,0.021970872,1.168184060218112,0.059,0.0008,0.0702201523850119,0.855,0.1774837219071623,0.9729643955480538,0.5566968121521468,0.7671300855319437,0
60,0.02921284,0.01636946,0.022493176,0.18041561104891687,0.054,0.001,0.0473531679471093,0.812,0.12665406427221174,0.9790311659319979,0.6190156546950362,0.7816447721515661,0
61,0.023952454,0.031301774,0.028578144,-0.022385059919570738,0.051,0.0009,0.0496548065646107,0.703,0.2102499474900231,1.0,0.6703894772894231,0.7994212834681516,0
62,0.0018694354,-0.014254885,-0.048737794,0.24918353483406924,0.047,0.0008,0.051940669309757,0.728,0.13988657844990546,0.8557522316413932,0.7230315460253817,0.6951776075208101,0
63,0.013596551,-0.0062832325,0.06685817,-0.0357342164358114,0.045,0.0008,0.0542109178248657,0.7170000000000001,0.2457466918714555,0.9071366432028392,0.794721981743652,0.7453309705523796,0
64,0.029033542,0.06361732,-0.008368625,0.39717035256901456,0.0409999999999999,0.0008,0.0479714239209317,0.674,0.1461877756773787,0.8705725493257555,0.8516014981586602,0.7284816944390141,0
65,0.0136298,-0.014330233,0.04268865,0.6392083403602831,0.039,0.0008,0.0417849489699498,0.706,0.4551564797311489,0.9174407074969386,0.912287825315234,0.759289334984802,0
66,0.0020129615,-0.062536575,-0.05401823,0.7911233186124083,0.04,0.0008,0.0356508200527084,0.672,0.15017853392144512,0.7728980800341454,0.9652443990433326,0.6569652503396911,0
67,-0.047451373,-0.025902065,-0.03186276,0.6347541206730587,0.038,0.0008,0.0299456036348889,0.628,0.2627599243856332,0.6125662614325211,1.0011590550879739,0.6065796139259856,0
